NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127057,Nguyen Van 29,2001/01/29,19CLC3
2,19127058,Nguyen Van 30,2001/01/30,19CLC3
3,19127059,Nguyen Van 31,2001/01/31,19CLC3
4,19127060,Nguyen Van 32,2001/02/01,19CLC3
5,19127061,Nguyen Van 33,2001/02/02,19CLC3
6,19127062,Nguyen Van 34,2001/02/03,19CLC3
7,19127063,Nguyen Van 35,2001/02/04,19CLC3
8,19127064,Nguyen Van 36,2001/02/05,19CLC3
9,19127065,Nguyen Van 37,2001/02/06,19CLC3
10,19127066,Nguyen Van 38,2001/02/07,19CLC3
11,19127067,Nguyen Van 39,2001/02/08,19CLC3
12,19127068,Nguyen Van 40,2001/02/09,19CLC3
13,19127069,Nguyen Van 41,2001/02/10,19CLC3
14,19127070,Nguyen Van 42,2001/02/11,19CLC3
