NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127127,Nguyen Van 99,2001/04/09,19CLC8
2,19127128,Nguyen Van 100,2001/04/10,19CLC8
3,19127129,Nguyen Van 101,2001/04/11,19CLC8
4,19127130,Nguyen Van 102,2001/04/12,19CLC8
5,19127131,Nguyen Van 103,2001/04/13,19CLC8
6,19127132,Nguyen Van 104,2001/04/14,19CLC8
7,19127133,Nguyen Van 105,2001/04/15,19CLC8
8,19127134,Nguyen Van 106,2001/04/16,19CLC8
9,19127135,Nguyen Van 107,2001/04/17,19CLC8
10,19127136,Nguyen Van 108,2001/04/18,19CLC8
11,19127137,Nguyen Van 109,2001/04/19,19CLC8
12,19127138,Nguyen Van 110,2001/04/20,19CLC8
13,19127139,Nguyen Van 111,2001/04/21,19CLC8
14,19127140,Nguyen Van 112,2001/04/22,19CLC8
