NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127029,Nguyen Van 1,2001/01/01,19CLC1
2,19127030,Nguyen Van 2,2001/01/02,19CLC1
3,19127031,Nguyen Van 3,2001/01/03,19CLC1
4,19127032,Nguyen Van 4,2001/01/04,19CLC1
5,19127033,Nguyen Van 5,2001/01/05,19CLC1
6,19127034,Nguyen Van 6,2001/01/06,19CLC1
7,19127035,Nguyen Van 7,2001/01/07,19CLC1
8,19127036,Nguyen Van 8,2001/01/08,19CLC1
9,19127037,Nguyen Van 9,2001/01/09,19CLC1
10,19127038,Nguyen Van 10,2001/01/10,19CLC1
11,19127039,Nguyen Van 11,2001/01/11,19CLC1
12,19127040,Nguyen Van 12,2001/01/12,19CLC1
13,19127041,Nguyen Van 13,2001/01/13,19CLC1
14,19127042,Nguyen Van 14,2001/01/14,19CLC1
