NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127043,Nguyen Van 15,2001/01/15,19CLC2
2,19127044,Nguyen Van 16,2001/01/16,19CLC2
3,19127045,Nguyen Van 17,2001/01/17,19CLC2
4,19127046,Nguyen Van 18,2001/01/18,19CLC2
5,19127047,Nguyen Van 19,2001/01/19,19CLC2
6,19127048,Nguyen Van 20,2001/01/20,19CLC2
7,19127049,Nguyen Van 21,2001/01/21,19CLC2
8,19127050,Nguyen Van 22,2001/01/22,19CLC2
9,19127051,Nguyen Van 23,2001/01/23,19CLC2
10,19127052,Nguyen Van 24,2001/01/24,19CLC2
11,19127053,Nguyen Van 25,2001/01/25,19CLC2
12,19127054,Nguyen Van 26,2001/01/26,19CLC2
13,19127055,Nguyen Van 27,2001/01/27,19CLC2
14,19127056,Nguyen Van 28,2001/01/28,19CLC2
