NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127015,Nguyen Van A,2001/11/01,19APCS2
2,19127016,Nguyen Van B,2001/11/02,19APCS2
3,19127017,Nguyen Van C,2001/11/12,19APCS2
4,19127018,Nguyen Van D,2001/11/03,19APCS2
5,19127019,Nguyen Van E,2001/11/23,19APCS2
6,19127020,Nguyen Van F,2001/11/04,19APCS2
7,19127021,Nguyen Van G,2001/11/24,19APCS2
8,19127022,Nguyen Van H,2001/11/05,19APCS2
9,19127023,Nguyen Van I,2001/11/15,19APCS2
10,19127024,Nguyen Van J,2001/11/06,19APCS2
11,19127025,Nguyen Van K,2001/11/16,19APCS2
12,19127026,Nguyen Van L,2001/11/07,19APCS2
13,19127027,Nguyen Van M,2001/11/27,19APCS2
14,19127028,Nguyen Van N,2001/11/08,19APCS2
