NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127155,Nguyen Van 127,2001/05/07,19CLC10
2,19127156,Nguyen Van 128,2001/05/08,19CLC10
3,19127157,Nguyen Van 129,2001/05/09,19CLC10
4,19127158,Nguyen Van 130,2001/05/10,19CLC10
5,19127159,Nguyen Van 131,2001/05/11,19CLC10
6,19127160,Nguyen Van 132,2001/05/12,19CLC10
7,19127161,Nguyen Van 133,2001/05/13,19CLC10
8,19127162,Nguyen Van 134,2001/05/14,19CLC10
9,19127163,Nguyen Van 135,2001/05/15,19CLC10
10,19127164,Nguyen Van 136,2001/05/16,19CLC10
11,19127165,Nguyen Van 137,2001/05/17,19CLC10
12,19127166,Nguyen Van 138,2001/05/18,19CLC10
13,19127167,Nguyen Van 139,2001/05/19,19CLC10
14,19127168,Nguyen Van 140,2001/05/20,19CLC10
