NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127099,Nguyen Van 71,2001/03/12,19CLC6
2,19127100,Nguyen Van 72,2001/03/13,19CLC6
3,19127101,Nguyen Van 73,2001/03/14,19CLC6
4,19127102,Nguyen Van 74,2001/03/15,19CLC6
5,19127103,Nguyen Van 75,2001/03/16,19CLC6
6,19127104,Nguyen Van 76,2001/03/17,19CLC6
7,19127105,Nguyen Van 77,2001/03/18,19CLC6
8,19127106,Nguyen Van 78,2001/03/19,19CLC6
9,19127107,Nguyen Van 79,2001/03/20,19CLC6
10,19127108,Nguyen Van 80,2001/03/21,19CLC6
11,19127109,Nguyen Van 81,2001/03/22,19CLC6
12,19127110,Nguyen Van 82,2001/03/23,19CLC6
13,19127111,Nguyen Van 83,2001/03/24,19CLC6
14,19127112,Nguyen Van 84,2001/03/25,19CLC6
